Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
16.895649,V-pl,N-sg,4
17.773075,V-sg,N-sg,4
16.74011,V-pl,N-sg,4
18.19879,V-sg,N-sg,4
17.756874,V-pl,N-sg,4
18.16855,V-sg,N-sg,4
17.315538,V-pl,N-sg,4
18.001724,V-sg,N-sg,4
17.298979,V-pl,N-sg,4
17.89088,V-sg,N-sg,4
17.008183,V-pl,N-sg,4
17.920557,V-sg,N-sg,4
16.880692,V-pl,N-sg,4
17.30959,V-sg,N-sg,4
16.417284,V-pl,N-sg,4
18.401426,V-sg,N-sg,4
17.456396,V-pl,N-sg,4
17.459818,V-sg,N-sg,4
16.483067,V-pl,N-sg,4
18.289528,V-sg,N-sg,4
17.525154,V-pl,N-sg,4
17.109442,V-sg,N-sg,4
16.45134,V-pl,N-sg,4
18.40453,V-sg,N-sg,4
17.276566,V-pl,N-sg,4
16.667559,V-sg,N-sg,4
16.070623,V-pl,N-sg,4
18.118406,V-sg,N-sg,4
16.937685,V-pl,N-sg,4
17.6011,V-sg,N-sg,4
16.761494,V-pl,N-sg,4
17.85204,V-sg,N-sg,4
17.369562,V-pl,N-sg,4
17.79769,V-sg,N-sg,4
17.832504,V-pl,N-sg,4
