Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
2.5487227,V-pl,N-pl,4
2.702901,V-sg,N-pl,4
2.943869,V-pl,N-pl,4
2.8550413,V-sg,N-pl,4
1.9569411,V-pl,N-pl,4
3.012072,V-sg,N-pl,4
2.5448573,V-pl,N-pl,4
2.449489,V-sg,N-pl,4
2.5043721,V-pl,N-pl,4
3.5518827,V-sg,N-pl,4
2.3451333,V-pl,N-pl,4
2.6268976,V-sg,N-pl,4
4.1771464,V-pl,N-pl,4
2.8493423,V-sg,N-pl,4
1.9255959,V-pl,N-pl,4
2.7187731,V-sg,N-pl,4
4.376786,V-pl,N-pl,4
2.2360325,V-sg,N-pl,4
2.2241354,V-pl,N-pl,4
1.8318224,V-sg,N-pl,4
3.1577358,V-pl,N-pl,4
1.2062948,V-sg,N-sg,4
3.6752076,V-pl,N-sg,4
1.4414895,V-sg,N-sg,4
3.6335735,V-pl,N-sg,4
2.6674767,V-sg,N-sg,4
3.5598252,V-pl,N-sg,4
4.106114,V-sg,N-sg,4
4.1762133,V-pl,N-sg,4
1.4210229,V-sg,N-sg,4
3.3798668,V-pl,N-sg,4
1.6489105,V-sg,N-sg,4
3.2003467,V-pl,N-sg,4
1.9928161,V-sg,N-sg,4
3.9767187,V-pl,N-sg,4
3.494358,V-sg,N-sg,4
4.7907667,V-pl,N-sg,4
1.4370064,V-sg,N-sg,4
4.5797377,V-pl,N-sg,4
1.5975779,V-sg,N-sg,4
4.357601,V-pl,N-sg,4
1.6249051,V-sg,N-sg,4
4.49051,V-pl,N-sg,4
1.6655216,V-sg,N-sg,4
4.006495,V-pl,N-sg,4
1.8439476,V-sg,N-sg,4
4.080296,V-pl,N-sg,4
2.368424,V-sg,N-sg,4
4.3550014,V-pl,N-sg,4
1.5571015,V-sg,N-sg,4
4.367644,V-pl,N-sg,4
2.404528,V-sg,N-sg,4
4.588674,V-pl,N-sg,4
0.99272305,V-sg,N-sg,4
4.356698,V-pl,N-sg,4
2.8085022,V-sg,N-sg,4
4.664013,V-pl,N-sg,4
1.6924483,V-sg,N-sg,4
4.0787992,V-pl,N-sg,4
1.2832551,V-sg,N-sg,4
4.1161904,V-pl,N-sg,4
