Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
4.5222383,V-pl,N-sg,4
6.0473576,V-sg,N-sg,4
4.9989767,V-pl,N-sg,4
5.798702,V-sg,N-sg,4
5.751034,V-pl,N-sg,4
7.456092,V-sg,N-sg,4
8.091009,V-pl,N-sg,4
5.381505,V-sg,N-sg,4
5.5944734,V-pl,N-sg,4
5.52913,V-sg,N-sg,4
5.6029553,V-pl,N-sg,4
5.5935626,V-sg,N-sg,4
4.873664,V-pl,N-sg,4
5.235298,V-sg,N-sg,4
5.26558,V-pl,N-sg,4
5.408936,V-sg,N-sg,4
5.600097,V-pl,N-sg,4
5.6708536,V-sg,N-sg,4
6.2675233,V-pl,N-sg,4
7.8651695,V-sg,N-sg,4
7.629473,V-pl,N-sg,4
5.4138994,V-sg,N-sg,4
5.366504,V-pl,N-sg,4
5.235538,V-sg,N-sg,4
4.7932625,V-pl,N-sg,4
5.551026,V-sg,N-sg,4
5.88377,V-pl,N-sg,4
5.246873,V-sg,N-sg,4
4.997987,V-pl,N-sg,4
5.6752305,V-sg,N-sg,4
5.559662,V-pl,N-sg,4
